,Sector,2015 PRICE VAR [%],Class,Revenue,Revenue Growth,Gross Margin,Operating Income,Net Income,Net Profit Margin,returnOnEquity,returnOnAssets,PE ratio,Price to Sales Ratio,EV to Sales,Debt to Equity,Current ratio,Operating Cash Flow,Free Cash Flow,EPS Diluted Growth,Net Income Growth
ABEV,Consumer Defensive,-22.605312498627963,0,14299586932.0315,-0.0376,0.6635,5976567780.6985,4530792339.4668,0.3168,0.2858,0.9411,21.515,2.5584,,0.0645,0.3567,7052459631.994,5422305670.2967,-0.1017,0.1193
TAL,Consumer Defensive,65.3736654622368,1,313895205.0,0.3893,0.5172,57395931.0,60605772.0,0.1931,0.2331,0.2855,30.41,1.9662,,0.0,1.801,101558366.0,90765273.0,0.8143,0.8124
BRFS,Consumer Defensive,-38.54874897853703,0,10892527224.9343,-0.0745,0.2934,1296545249.7184,835523845.2873,0.0767,0.1427,0.0714,24.328000000000003,0.7023,,0.7891,0.6864,1878257.6042,1364588.8096,0.8507,0.8568
KHC,Consumer Defensive,2.0659632484645383,1,10922000000.0,,0.3,1568000000.0,657000000.0,0.0602,0.0923,0.1569,0.0,8.4379,9.5336,1.8769,1.59,2140000000.0,1741000000.0,,
NWL,Consumer Defensive,18.603845240198435,1,5727000000.0,0.0214,0.3847,604700000.0,377800000.0,0.066,0.2041,0.3924,27.8029,1.8031,2.2016,1.3406,1.214,634100000.0,472200000.0,-0.1718,-0.204
KMB,Consumer Defensive,13.745828918763074,1,19724000000.0,0.0083,0.3388,2521000000.0,1526000000.0,0.0774,2.0933,0.228,28.3882,2.1818,2.4944,9.5418,0.893,2845000000.0,1806000000.0,-0.2694,-0.2876
CPB,Consumer Defensive,22.628762719616688,1,8268000000.0,0.0268,0.3593,1267000000.0,866000000.0,0.1047,0.5362,0.606,15.3007,1.6034,2.0609,2.4861,0.703,899000000.0,574000000.0,0.9028,0.8908
TGT,Consumer Defensive,-0.8406475611562578,0,71279000000.0,-0.0276,0.298,4779000000.0,1971000000.0,0.0277,0.1214,0.0782,17.8742,0.4914,0.6583,0.7746,0.906,6520000000.0,4704000000.0,-0.3208,-0.3428
HRL,Consumer Defensive,58.66678305832708,1,9316256000.0,0.0645,0.168,914035000.0,602677000.0,0.0647,0.1671,0.2765,23.0395,1.4855,1.4765,0.0693,2.234,746879000.0,598026000.0,0.1487,0.1453
CAG,Consumer Defensive,21.62501550596322,1,11838200000.0,-0.1211,0.2473,1148500000.0,303100000.0,0.0256,0.0576,0.0579999999999999,34.1115,0.8738,1.6175,1.7013,1.601,1568600000.0,1147500000.0,-0.6216,-0.6083
PEP,Consumer Defensive,8.886701373838283,1,66683000000.0,0.004,0.5315,9581000000.0,6513000000.0,0.0977,0.3705,0.3287,22.4432,2.171,2.4735,1.6439,1.142,10506000000.0,7762000000.0,-0.0116,-0.0337
COST,Consumer Defensive,19.06252433079839,1,112640000000.0,0.0712,0.1259,3220000000.0,2058000000.0,0.0183,0.1673,0.1143,25.919,0.473,0.4533,0.414,1.22,3984000000.0,1991000000.0,0.0043,0.0093
COTY,Consumer Defensive,26.68124147146635,1,4551600000.0,-0.021,0.5901,25700000.0,-97400000.0,-0.0214,-0.1154,-0.0564,0.0,1.4280000000000002,1.8796,3.9032,1.743,536500000.0,335000000.0,-1.619,-1.5798
MNST,Consumer Defensive,37.72188931205835,1,2464867000.0,0.0972,0.5436,747505000.0,483185000.0,0.196,0.3189,0.3482,37.6216,7.369,6.9018,0.0,4.647,597491000.0,567091000.0,0.4154,0.4268
SJM,Consumer Defensive,25.632152051356968,1,5610600000.0,-0.0487,0.362,919000000.0,565200000.0,0.1007,0.1124,0.2945,17.8376,1.7867,2.1544,0.4407,1.7380000000000002,856000000.0,587200000.0,0.084,0.0386
CL,Consumer Defensive,-1.3486026129171749,0,17277000000.0,-0.0082,0.5851,3557000000.0,2180000000.0,0.1262,1.9039,0.4363,29.0714,3.6499,3.9427,5.3694,1.232,3298000000.0,2541000000.0,-0.0084,-0.0272
ADM,Consumer Defensive,-27.728082300006594,0,81201000000.0,-0.0958,0.0587,2730000000.0,2248000000.0,0.0277,0.1145,0.1109,15.1163,0.4123,0.402,0.2883,1.668,4943000000.0,4049000000.0,0.698,0.6751
DG,Consumer Defensive,2.7615954905003988,1,17504167000.0,0.0925,0.3105,1736185000.0,1025116000.0,0.0586,0.1898,0.2951,17.7666,1.0304,1.1626,0.5218,1.769,1213065000.0,963087000.0,0.1123,0.0761
TAP,Consumer Defensive,29.90293479794,1,4146300000.0,-0.0142,0.3987,164700000.0,514000000.0,0.124,0.0654,0.4894,26.8058,2.9518,3.5658,0.4032,0.6779999999999999,1287900000.0,1037200000.0,-0.1039,-0.094
SYY,Consumer Defensive,5.346119421342533,1,46516712000.0,0.0474,0.1759,1587122000.0,931533000.0,0.02,0.1769,0.1479,23.5535,0.4706,0.5174,0.5189,1.53,1492815000.0,995399000.0,-0.0539,-0.0614
CHD,Consumer Defensive,10.792636011688504,1,3297600000.0,0.0323,0.4406,641200000.0,413900000.0,0.1255,0.1969,0.5678,25.7549,3.1971,3.3983,0.517,1.125,540300000.0,469800000.0,0.0824,0.0494
BG,Consumer Defensive,-23.422109738587288,0,57161000000.0,-0.0682,0.0459,930000000.0,515000000.0,0.009,0.061,0.0515,28.4094,0.2309,0.2921,0.6157,1.503,1399000000.0,582000000.0,1.0452,1.0304
PBH,Consumer Defensive,49.60767152141679,1,597381000.0,-0.0367,0.5617,188616000.0,72615000.0,0.1216,0.1289,0.7090000000000001,19.3262,2.3629,3.8797,1.6586,2.1,111582000.0,108821000.0,0.0945,0.1085
BIG,Consumer Defensive,-0.2272977358874182,0,5124755000.0,-0.0168,0.3917,230110000.0,125295000.0,0.0244,0.139,0.1125,11.7982,0.293,0.2946,0.0854,1.941,198334000.0,100808000.0,-0.2628,-0.2926
STZ,Consumer Defensive,47.19279042772357,1,4867700000.0,0.7409,0.4092,795700000.0,1943100000.0,0.3992,0.3901,0.7102,7.7541,3.1639,4.593,1.4094,1.356,826200000.0,602700000.0,3.8186,4.0106
SFM,Consumer Defensive,-21.840094665490188,0,2967424000.0,0.2172,0.2983,199711000.0,107692000.0,0.0363,0.1571,0.1895,45.7778,1.6767,1.7699,0.5939,1.513,181218000.0,54447000.0,0.8919,1.0982
AVP,Consumer Defensive,-54.549047402205545,0,7648000000.0,-0.0999,0.6068,294800000.0,-388600000.0,-0.0508,-1.3409,-0.1989,0.0,0.5337,0.7447,8.8006,1.4269999999999998,359800000.0,249200000.0,-5.7692,-5.8901
HMHC,Consumer Defensive,5.779507164831419,1,1372316000.0,-0.0046,0.3995,-85411000.0,-111491000.0,-0.0812,-0.0634,-0.1254,0.0,2.1351,1.7706,0.1382,2.667,491043000.0,423898000.0,0.0,-0.0027
POST,Consumer Defensive,44.36125021030371,1,2411100000.0,1.3316,0.2576,-243200000.0,-343200000.0,-0.1423,-0.1503,-0.2242,0.0,0.6168,2.0697,1.6889,2.345,183100000.0,67600000.0,-31.1,-37.5918
EL,Consumer Defensive,17.930829031832968,1,10968800000.0,0.0773,0.8032,1827600000.0,1204100000.0,0.1098,0.3124,0.2819,23.8013,2.5916,2.5655,0.3484,2.346,1535200000.0,1025000000.0,0.186,0.1807
PPC,Consumer Defensive,-17.34460577767767,0,8583365000.0,0.0205,0.1624,1203115000.0,711648000.0,0.0829,0.3244,0.3034,12.2618,1.0176,0.951,0.0019,2.582,1066692000.0,906357000.0,0.2925,0.295
DLTR,Consumer Defensive,9.765462538153752,1,7840300000.0,0.0603,0.3558,970300000.0,596700000.0,0.0761,0.5097,0.3341,18.1314,1.3186,1.3826,0.6576,2.009,794100000.0,463200000.0,0.0149,-0.0365
GNC,Consumer Defensive,-31.978784462178677,0,2655006000.0,0.0108,0.3692,435298000.0,255872000.0,0.0964,0.3384,0.2946,16.5936,1.5717,2.0269,1.7755,3.646,303785000.0,233330000.0,0.0331,-0.0345
DF,Consumer Defensive,-8.073796827353414,0,9503196000.0,0.054,0.1761,8553000.0,-20296000.0,-0.0021,-0.0324,-0.013,0.0,0.1913,0.2861,1.4621,1.485,152946000.0,31154000.0,-1.0256,-1.025
HLF,Consumer Defensive,42.682268013023965,1,4958600000.0,0.0276,0.8018,513500000.0,308700000.0,0.0623,-0.9231,0.3487,10.5307,0.698,0.9291,-5.3583,1.5930000000000002,511400000.0,337700000.0,-0.3075,-0.4148
TWNK,Consumer Defensive,4.166662527455388,1,554695000.0,,0.4217,119467000.0,,,,,0.0,0.7551,2.5536,,,108329000.0,,,
BUD,Consumer Defensive,15.55724047965481,1,47063000000.0,0.0895,0.6015,15111000000.0,9216000000.0,0.1958,0.1844,0.7948,19.9149,3.8373,,1.023,0.6809999999999999,14144000000.0,10022000000.0,-0.3647,-0.3597
CHGG,Consumer Defensive,-3.857142584664481,0,304834000.0,0.1927,0.3079,-65134000.0,-64758000.0,-0.2124,-0.2621,-0.4521,0.0,1.9007,1.6072,0.0,1.661,68475000.0,8697000.0,0.8971,0.5912
AGRO,Consumer Defensive,54.01002421651562,1,722966000.0,0.1215,0.1627,-1941000.0,11116000.0,0.0154,0.0144,0.0094,87.0652,1.3488,,0.9076,1.5630000000000002,120151000.0,-184553000.0,1.4292,1.4304
CASY,Consumer Defensive,36.52990079983455,1,7840255000.0,0.0813,0.1559,233559000.0,126820000.0,0.0162,0.1803,0.0713,20.8061,0.3371,0.4305,1.2146,0.997,314160000.0,8855000.0,0.2119,0.2216
MGPI,Consumer Defensive,71.62432048613519,1,313403000.0,-0.0305,0.0907,16619000.0,23675000.0,0.0755,0.2268,0.2052,12.0152,0.8928,0.9064,0.0948,2.675,15812000.0,8864000.0,5.5517,5.6344
EDU,Consumer Defensive,56.77193253519787,1,1138887000.0,0.1865,0.6034,193946000.0,215704000.0,0.1894,0.2103,0.2443,19.3841,3.6805,,0.0,2.142,361345000.0,330588000.0,0.5747,0.5829
TSN,Consumer Defensive,34.851487362728164,1,37580000000.0,0.0933,0.0714,1430000000.0,864000000.0,0.023,0.0972,0.1144,15.6653,0.3636,0.5695,0.9199,1.638,1178000000.0,546000000.0,0.1179,0.1105
MKC,Consumer Defensive,18.620101774480585,1,4243200000.0,0.0291,0.4078,603000000.0,408500000.0,0.0963,0.2258,0.4555,21.9318,2.2495,2.5341,0.7101,1.262,503600000.0,372000000.0,0.1478,0.1167
HAIN,Consumer Defensive,-29.06568253638383,0,2107822000.0,0.2151,0.2506,216746000.0,129922000.0,0.0616,0.0802,0.1883,33.3609,2.1098,2.4629,0.5358,1.895,184768000.0,143157000.0,0.0744,0.1331
HSY,Consumer Defensive,-11.83740860195844,0,7421768000.0,0.0386,0.4495,1392261000.0,846912000.0,0.1141,0.5820000000000001,0.3438,29.3588,3.0929,3.3228,1.4967,1.161,844377000.0,475200000.0,0.0445,0.0322
PFGC,Consumer Defensive,21.789470471833887,1,13685700000.0,0.067,0.124,30200000.0,15500000.0,0.0011,0.0357,0.0138,26.7606,0.1257,0.2292,3.6323,1.476,119700000.0,31700000.0,0.8,0.8452
UN,Consumer Defensive,15.25556762660295,1,58639225181.5981,,1.0,58639225181.5981,6260290556.9007,0.1068,,,17.7181,2.3304,,,,9508474576.2712,7467312348.6683,,
CHEF,Consumer Defensive,-26.970226822499164,0,832709000.0,0.2363,0.2464,33015000.0,14215000.0,0.0171,0.0968,0.0889,37.9828,0.6629,0.8313,0.9778,2.4530000000000003,9797000.0,-14409000.0,-0.2597,-0.1633
PRMW,Consumer Defensive,85.18517782658735,1,106322000.0,0.1657,0.2621,-6739000.0,-13467000.0,-0.1267,-0.6046,-0.3501,0.0,0.9944,1.2184,1.0917,1.039,8423000.0,1195000.0,-0.2222,-0.2579
FRPT,Consumer Defensive,-48.54545593261719,0,86764112.0,0.3739,0.4866,-6080316.0,-131279893.0,-1.5131,-1.2697,-1.3263,0.0,6.5806,6.1627,0.0,5.537999999999999,-8026302.0,-24903739.0,-2.3093,-3.3352
FMX,Consumer Defensive,9.702583748073163,1,17865794113.6579,-0.0971,0.4182,2096229485.9623,1132578326.3258,0.0634,0.098,0.0324,156.3866,0.7221,,0.5261,0.1088,2934626339.3463,1796961887.9696,-0.0705,-0.0721
CLX,Consumer Defensive,25.434918165978083,1,5514000000.0,-0.0034,0.4273,987000000.0,558000000.0,0.1012,3.6234,0.7602,21.2065,2.1315,2.4913,15.0195,0.852,767000000.0,630000000.0,-0.0163,-0.0245
VGR,Consumer Defensive,26.66844301404521,1,1591315000.0,0.4735,0.3106,212438000.0,36856000.0,0.0232,-0.3695,0.0592,60.496,1.4613,1.6611,-9.1556,3.537,107376000.0,83976000.0,-0.0676,-0.0119
SPB,Consumer Defensive,-0.5686623883306023,0,4634700000.0,-0.1639,0.3651,427400000.0,-10300000.0,-0.0022,-0.0071,-0.1736,0.0,0.5821,1.4104,3.5778,2.008,704100000.0,628600000.0,0.2387,0.1093
PETS,Consumer Defensive,23.47965436912064,1,233391000.0,0.0244,0.3326,28218000.0,17972000.0,0.077,0.2559,0.2665,14.9,1.1601,1.0151,0.0,9.17,13506000.0,13461000.0,0.0465,0.047
THS,Consumer Defensive,-7.1149544801444256,0,2946102000.0,0.2843,0.2059,218154000.0,89880000.0,0.0305,0.0511,0.0783,37.5132,1.2288,1.7005,0.8246,2.949,229550000.0,133174000.0,-0.0429,0.0332
OLLI,Consumer Defensive,-19.57446555233616,0,540718000.0,,0.401,50159000.0,19541000.0,0.0361,,,34.6721,1.7564,2.0712,,,19713000.0,10159000.0,,
BURL,Consumer Defensive,-10.587740860409031,0,4461987000.0,0.0712,0.3958,199217000.0,16150000.0,0.0036,-0.1073,0.0159,0.0,0.4033,0.6864,-9.4916,1.125,289351000.0,121857000.0,-0.4444,0.2178
IPAR,Consumer Defensive,-10.5997680990229,0,499261000.0,-0.1141,0.5749,53403000.0,29436000.0,0.059,0.077,0.0751,28.8947,1.7013,1.1405,0.0008,4.695,36613000.0,32389000.0,-0.252,-0.2493
INGR,Consumer Defensive,15.406389300667929,1,5668000000.0,-0.1043,0.1967,557000000.0,355000000.0,0.0626,0.1631,0.1015,17.6017,1.0757,1.2886,0.8365,2.974,731000000.0,455000000.0,-0.0614,-0.1035
SAFM,Consumer Defensive,-4.853748814036342,0,2774845000.0,0.0342,0.1877,381922000.0,249048000.0,0.0898,0.2774,0.2596,7.7759,0.6982,0.6458,0.0223,3.459,306467000.0,135355000.0,0.9014,0.9067
DEO,Consumer Defensive,0.1305360445742358,1,17475298126.0647,0.0158,0.6072,4611584327.0869,3829642248.7223,0.2191,0.3295,0.4523,20.8216,34.1707,,1.4373,2.6235,4584327086.8825,3626916524.7019,0.0262,0.0261
UNFI,Consumer Defensive,-48.08757482356145,0,6794447000.0,0.1204,0.166,210788000.0,125482000.0,0.0185,0.1009,0.0938,23.6957,0.4381,0.5018,0.3612,2.658,62418000.0,-78801000.0,0.156,0.1634
UL,Consumer Defensive,11.085897951307096,1,58639225181.5981,,1.0,58639225181.5981,6260290556.9007,0.1068,,,18.3716,2.3263,,,,9508474576.2712,7467312348.6683,,
LOPE,Consumer Defensive,-11.978944010155564,0,691055000.0,0.155,0.5821,180815000.0,111466000.0,0.1613,0.2341,0.1968,19.0449,3.1533,2.9408,0.1827,1.494,166996000.0,-1650000.0,0.2344,0.2565
EPC,Consumer Defensive,-16.99012846347444,0,2612200000.0,0.0667,0.4938,263700000.0,356100000.0,0.1363,0.1412,0.1867,15.9119,2.1595,2.6033,0.9073,1.735,572000000.0,486700000.0,-0.1206,-0.1251
CCU,Consumer Defensive,19.992465260220968,1,2142261578.9109,-0.0596,0.5342,296954034.2573,199364106.4491,0.0931,0.1178,0.0006,19.5448,0.0053,,0.1949,0.003,286558301.3966,-85253542.7457,-0.2986,-0.2116
CALM,Consumer Defensive,24.4910683176579,1,1440907000.0,0.1186,0.2101,146052000.0,109207000.0,0.0758,0.1839,0.1696,15.3018,1.1659,1.063,0.1029,3.678,123920000.0,65550000.0,1.1524,1.1658
CORE,Consumer Defensive,35.539294808999074,1,10280100000.0,0.0525,0.0558,68300000.0,42700000.0,0.0042,0.0926,0.083,33.2957,0.1393,0.1461,0.2109,1.834,66500000.0,7300000.0,0.0279,0.0264
CRESY,Consumer Defensive,27.596438883560392,1,566019178.7558,-0.1365,0.3966,117408409.1468,-131300713.0563,-0.2319999999999999,-0.1463,-0.0485,0.0,1.4436,,1.0899,0.1334,142980083.5997,157487091.222,-27.4497,-25.268
FIZZ,Consumer Defensive,102.94774326368128,1,641135000.0,-0.0315,0.3395,64435000.0,43635000.0,0.0681,0.4109,0.3159,20.4086,1.3716,1.3717,0.2825,2.218,52382000.0,40320000.0,-0.0891,-0.0825
UVV,Consumer Defensive,40.92516542872512,1,2542115000.0,0.0327,0.1704,246151000.0,149009000.0,0.0586,0.1081,0.0984,9.6863,0.5104,0.611,0.3041,3.678,-3503000.0,-46606000.0,0.1266,0.1379
FDP,Consumer Defensive,17.233552244341073,1,3927500000.0,0.0662,0.0929,173500000.0,142400000.0,0.0363,0.0815,0.079,13.2402,0.4826,0.5419,0.1527,2.543,230700000.0,83200000.0,5.1475,5.1395
NUS,Consumer Defensive,-7.334735411347648,0,2569495000.0,-0.1911,0.8138,352188000.0,189176000.0,0.0736,0.2007,0.2147,13.6563,1.0083,0.9877,0.2624,1.995,-56464000.0,-157940000.0,-0.4764,-0.4816
PSMT,Consumer Defensive,-6.849273048551334,0,2517567000.0,0.0947,0.1604,136707000.0,92886000.0,0.0369,0.1694,0.177,29.4365,1.0844,1.0653,0.1668,1.329,137275000.0,19316000.0,0.1043,0.1023
CENTA,Consumer Defensive,40.641161056556726,1,1604000000.0,,0.28304239401496,56000000.0,9000000.0,0.0056109725685786,,,,,,,,-28000000.0,-53000000.0,,
LBY,Consumer Defensive,-30.732668999511517,0,855892000.0,0.0409999999999999,0.2373,81236000.0,4963000.0,0.0058,0.0641,0.011,136.6957,0.7959,1.2374,5.6541,1.977,81871000.0,27478000.0,-0.8321,-0.8256
HELE,Consumer Defensive,45.46997787958416,1,1317153000.0,0.0224,0.3923,117100000.0,86248000.0,0.0655,0.0838,0.2077,24.2788,1.5899,1.6829,0.1871,1.869,154165000.0,113707000.0,-0.2652,-0.2543
CVGW,Consumer Defensive,7.271743878882423,1,782510000.0,0.1317,0.091,-16459000.0,97000.0,0.0001,0.0005,0.0012,4854.0,0.9778,1.0251,0.2441,1.218,24547000.0,12934000.0,1.0833,1.054
TUES,Consumer Defensive,-69.92133356587512,0,864844000.0,0.0316,0.3494,-8053000.0,-10176000.0,-0.0118,-0.0501,-0.05,0.0,0.8957,0.8383,0.0,2.084,31198000.0,17764000.0,0.8195,0.8195
TEDU,Consumer Defensive,-5.0909107031065295,0,135121246.3675,,0.7131,19037132.7091,,,,,22.1071,0.5302,,,,28308524.3784,,,
ATGE,Consumer Defensive,-42.087255975413576,0,1923371000.0,-0.0209,0.4887,181268000.0,134032000.0,0.0697,0.0874,0.1642,20.2584,1.3978,1.2054,0.0,1.822,265561000.0,186206000.0,0.2545,0.2551
UTI,Consumer Defensive,-51.04881771560178,0,378393000.0,-0.0051,0.4713,6337000.0,2037000.0,0.0054,0.0153,0.0154,116.875,0.6077,0.4657,0.2831,1.246,27056000.0,15074000.0,-0.5,-0.4778
CENT,Consumer Defensive,50.38933038907155,1,1604357000.0,-0.0298,0.283,56213000.0,8804000.0,0.0055,0.0182,0.0132,43.6111,0.2468,0.4632,0.9289,3.88,126467000.0,118031000.0,5.5,5.564
LANC,Consumer Defensive,32.94796192086428,1,1041075000.0,0.0269,0.2388,153767000.0,74986000.0,0.072,0.1419,0.1606,34.6036,2.4988,2.2957,0.0,5.318,129091000.0,113136000.0,-0.3133,-0.3136
SAM,Consumer Defensive,-27.95874992799889,0,903007000.0,0.2218,0.515,146567000.0,90743000.0,0.1005,0.2081,0.1895,42.3103,4.2602,4.1762,0.0013,1.883,141211000.0,-10673000.0,0.2915,0.2891
WMK,Consumer Defensive,-3.8491329448905818,0,2776683000.0,0.0312,0.2712,81375000.0,54381000.0,0.0196,0.0644,0.0575,23.6485,0.4628,0.4278,0.0,2.121,123110000.0,47547000.0,-0.2574,-0.2569
STRA,Consumer Defensive,-17.224291275930756,0,446041000.0,-0.1143,0.4702,81747000.0,46356000.0,0.1039,0.4999,0.2083,16.9203,1.8158,1.7182,1.2806,3.491,77977000.0,71075000.0,1.8065,1.8223
GPX,Consumer Defensive,-23.86294433329489,0,501867000.0,0.1493,0.1785,42467000.0,27098000.0,0.054,0.1786,0.5272,23.4,1.1557,1.2434,0.3861,1.3730000000000002,30998000.0,28241000.0,0.1626,0.1407
APEI,Consumer Defensive,-48.50580817751199,0,350020000.0,0.0623,0.6464,65832000.0,40877000.0,0.1168,0.1745,0.2147,15.6229,1.8186,1.4882,0.0,2.823,61030000.0,36434000.0,-0.0085,-0.0275
KOF,Consumer Defensive,-15.047434810096984,0,9989013969.8901,-0.1648,0.4642,1460192594.6019,714905737.1491,0.0716,0.0997,0.0544,25.0652,1.2176,,0.6451,0.091,1655092906.5509,928455174.2846,-0.1974,-0.1921
NBEV,Consumer Defensive,18.181809150811752,1,2789936.0,,0.3147,-766358.0,,,,,0.0,2.4858,2.5557,,,-268520.0,,,
NAUH,Consumer Defensive,-20.76039040716018,0,127753000.0,-0.011,0.7174,6253000.0,3485000.0,0.0273,0.0679,0.0505,23.7143,0.6526,0.5956,0.2396,2.765,-4090000.0,-8319000.0,-0.3333,-0.3601
IMKTA,Consumer Defensive,16.135106772347747,1,3835985953.0,0.0261,0.2203,123345157.0,51426454.0,0.0134,0.1344,0.0372,10.1356,0.1419,0.384,2.4497,1.651,154348781.0,46444440.0,1.6207,1.4729
CECO,Consumer Defensive,-46.53902599654403,0,913964000.0,-0.1015,0.6463,-139272000.0,-178163000.0,-0.1949,-0.6319,-0.7029,0.0,0.5123,0.2611,0.0355,1.765,-118624000.0,-131780000.0,-0.0772,-0.0846
TR,Consumer Defensive,8.734910450517331,1,543525000.0,0.0003,0.371,83923000.0,63298000.0,0.1165,0.0916,0.1622,29.1877,3.4093,3.1649,0.012,4.105,88769000.0,78065000.0,0.0614,0.0402
ANDE,Consumer Defensive,-39.44045494964561,0,4540071000.0,-0.1899,0.0875,78258000.0,109726000.0,0.0242,0.1366,0.1172,13.8026,0.3383,0.396,0.4697,1.221,-10071000.0,-68345000.0,0.2075,0.22
VLGEA,Consumer Defensive,2.203321313704734,1,1518636000.0,0.0286,0.2689999999999999,29828000.0,5045000.0,0.0033,0.0216,0.0226,58.5366,0.2221,0.2015,0.1979,1.115,52447000.0,2125000.0,-0.8054,-0.8043
REV,Consumer Defensive,-17.681843868116598,0,1941000000.0,0.2986,0.6557,235500000.0,40900000.0,0.0211,-0.0635,0.0785,43.7949,0.9214,1.7433,-2.9041,1.664,174000000.0,118500000.0,8.0909,8.0517
JBSS,Consumer Defensive,35.946194719511546,1,778622000.0,0.0603,0.1578,46996000.0,26287000.0,0.0338,0.1159,0.0982,11.0756,0.3738,0.4767,0.3614,2.222,11950000.0,2022000.0,0.1919,0.208
LRN,Consumer Defensive,-24.78632192996948,0,919553000.0,0.0841,0.381,29260000.0,19600000.0,0.0213,0.0371,0.049,48.14,1.0353,0.8622,0.0698,4.089,122873000.0,73504000.0,-0.3056,-0.3028
HLG,Consumer Defensive,8.888891008165148,1,74565581.6951,0.0531,0.3524,19145020.9475,22667096.3584,0.304,0.2526,0.0571,4972.6504,1958.9586,,0.0,0.9115,24072188.205,22657106.0264,0.1408,0.1357
JJSF,Consumer Defensive,9.814612637332123,1,919451000.0,0.0597,0.3128,106848000.0,71814000.0,0.0781,0.1277,0.213,24.4831,1.9114,1.8122,0.0009,2.872,107096000.0,69283000.0,0.1202,0.1155
RIBT,Consumer Defensive,-54.21686909648325,0,40108000.0,0.1443,0.1114,-12764000.0,-23029000.0,-0.5742,-1.4694,-0.979,0.0,0.9723,1.2357,1.0271,0.919,-10067000.0,-15467000.0,0.6942,-0.5331
FC,Consumer Defensive,-14.591839564735263,0,205165000.0,0.0746,0.6739,24765000.0,18067000.0,0.0881,0.1426,0.268,17.5926,1.5612,1.6436,0.216,2.169,18124000.0,14654000.0,0.3375,0.2618
LNDC,Consumer Defensive,-14.892084544122396,0,476813000.0,0.0795,0.1312,20190000.0,19145000.0,0.0402,0.0943,0.1641,17.0,0.6875,0.7297,0.1693,1.879,21045000.0,6159000.0,-0.1647,-0.1524
LMNR,Consumer Defensive,-39.28996951100719,0,103462000.0,0.2189,0.2384,9893000.0,6991000.0,0.0676,0.0591,0.0373,55.7826,3.4916,4.1513,0.5777,0.701,16092000.0,-9774000.0,0.2778,0.4063
CELH,Consumer Defensive,288.0000114440918,1,14610090.0,,0.3832,-1529933.0,-2027136.0,-0.1387,0.283,-0.5653,0.0,4.3567,4.0298,-1.5006,3.595,-2919217.0,-2931710.0,,
FARM,Consumer Defensive,15.167737082682404,1,528380000.0,0.0282,0.3708,8916000.0,12132000.0,0.023,0.1056,0.0688,28.4342,0.6773,0.6303,0.0852,2.048,52895000.0,32164000.0,2.4074,2.4337
